brand,model,color,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km,age
audi,TT,blue,8700.0,200.0,Automatic,Petrol,7.7,214000.0,19.0
bmw,420,white,42490.0,184.0,Automatic,Petrol,6.1,99004.0,5.0
dacia,Dokker,blue,18940.0,95.0,Manual,Diesel,4.4,50897.0,7.0
audi,Q3,silver,39203.0,150.0,Automatic,Petrol,6.5,10.0,3.0
audi,A3,silver,31930.0,150.0,Automatic,Petrol,5.7,9999.0,4.0
jeep,Grand Cherokee,blue,34200.0,250.0,Automatic,Diesel,7.5,85000.0,8.0
kia,Rio,black,8999.0,109.0,Manual,Petrol,5.3,85500.0,12.0
bmw,X1,white,7400.0,177.0,Manual,Diesel,5.8,236581.0,15.0
kia,Ceed / cee'd,blue,31765.0,204.0,Automatic,Petrol,6.5,4900.0,3.0
ford,Fiesta,white,9990.0,71.0,Unknown,Petrol,4.7,79200.0,8.0
ford,Focus,silver,14990.0,125.0,Manual,Petrol,4.8,60936.0,10.0
bmw,X3,black,11900.0,218.0,Automatic,Diesel,7.7,204100.0,18.0
dacia,Spring,blue,18350.0,45.0,Automatic,Electric,5.0600000000000005,15.0,4.0
bmw,116,orange,26150.0,109.0,Automatic,Petrol,4.720000000000001,13000.0,4.0
bmw,120,grey,18888.0,170.0,Automatic,Petrol,6.5,105200.0,15.0
fiat,500,grey,13950.0,69.0,Manual,Hybrid,3.9,21509.0,6.0
bmw,320,white,24980.0,184.0,Automatic,Petrol,6.6,69900.0,10.0
fiat,500C,grey,34990.0,118.0,Automatic,Electric,6.06,6500.0,4.0
hyundai,i30,grey,23950.0,275.0,Manual,Petrol,7.1,74306.0,9.0
audi,A6,grey,16640.0,204.0,Automatic,Diesel,5.1,166000.0,15.0
ford,Tourneo Custom,silver,39980.0,170.0,Automatic,Diesel,7.0,91006.0,7.0
ford,Fiesta,white,17500.0,200.0,Manual,Petrol,5.9,75000.0,7.0
fiat,Ducato,white,37690.0,120.0,Manual,Diesel,6.5,3500.0,5.0
audi,Q5,black,24900.0,230.0,Automatic,Petrol,6.160000000000001,120967.0,10.0
fiat,500,blue,18480.0,69.0,Manual,Petrol,6.9,10.0,3.0
audi,Q5,green,60840.0,204.0,Automatic,Diesel,5.4,34750.0,5.0
ford,Focus,grey,12699.0,120.0,Automatic,Diesel,4.0,120980.0,7.0
dacia,,brown,23840.0,110.0,Manual,Petrol,6.1,150.0,3.0
kia,Picanto,white,11980.0,67.0,Manual,Petrol,4.6,29450.0,7.0
fiat,500,white,6899.0,69.0,Manual,Petrol,5.1,116267.0,17.0
bmw,116,blue,5555.0,116.0,Manual,Diesel,4.3,143700.0,13.0
bmw,X3,grey,23998.0,245.0,Automatic,Petrol,6.459999999999999,97000.0,10.0
audi,A3,grey,17990.0,116.0,Automatic,Petrol,4.7,92850.0,8.0
bmw,325,silver,8500.0,197.0,Manual,Diesel,5.9,307007.0,17.0
citroen,C5 Aircross,black,27880.0,181.0,Automatic,Hybrid,1.4,43545.0,6.0
bmw,X5,black,27900.0,313.0,Automatic,Diesel,6.0,184500.0,10.0
audi,A6 allroad,black,11990.0,218.0,Automatic,Diesel,5.7,105500.0,11.0
kia,Ceed / cee'd,black,14999.0,101.0,Manual,Petrol,5.2,48509.0,6.0
alfa-romeo,Romeo Giulietta,red,17700.0,150.0,Manual,Diesel,4.2,65700.0,8.0
hyundai,i10,white,3099.0,69.0,Manual,Petrol,4.7,158000.0,14.0
bmw,M4,grey,61890.0,450.0,Automatic,Petrol,8.7,25700.0,9.0
ford,Fiesta,grey,7990.0,60.0,Manual,Petrol,5.2,115000.0,9.0
audi,A5,white,22000.0,190.0,Automatic,Diesel,4.5,112000.0,11.0
audi,A6,grey,13000.0,290.0,Automatic,Petrol,9.5,200000.0,17.0
alfa-romeo,Romeo Stelvio,black,32990.0,200.0,Automatic,Petrol,10.1,75250.0,7.0
bmw,X1,silver,24252.0,150.0,Automatic,Diesel,4.8,74537.0,8.0
kia,Picanto,white,14600.0,84.0,Automatic,Petrol,5.9,60000.0,9.0
bmw,525,grey,7000.0,204.0,Automatic,Diesel,6.1,197000.0,15.0
dacia,Sandero,grey,16990.0,91.0,Manual,Petrol,5.1,10.0,3.0
bmw,420,black,21400.0,184.0,Automatic,Diesel,4.8,110773.0,11.0
ford,Crown,silver,11990.0,250.0,Automatic,Petrol,7.38,250000.0,19.0
bmw,118,black,2500.0,129.0,Manual,Petrol,7.3,261372.0,18.0
bmw,116,silver,16990.0,116.0,Manual,Diesel,4.0,98907.0,9.0
alfa-romeo,Romeo 147,white,3300.0,105.0,Manual,Petrol,8.2,197000.0,18.0
audi,A5,red,21990.0,170.0,Manual,Petrol,6.2,35880.0,12.0
audi,A6,grey,30490.0,286.0,Automatic,Diesel,4.9,160800.0,8.0
audi,A5,blue,9150.0,160.0,Automatic,Petrol,7.2,129000.0,16.0
hyundai,i10,blue,14490.0,67.0,Manual,Petrol,4.8,8105.0,5.0
isuzu,D-Max,silver,52896.0,163.0,Automatic,Diesel,5.54,1622.0,6.0
audi,A6,silver,13500.0,170.0,Manual,Petrol,11.0,162000.0,22.0
bmw,X1,grey,21998.0,150.0,Automatic,Diesel,4.7,60694.0,9.0
bmw,320,blue,26896.0,190.0,Automatic,Diesel,4.4,124868.0,7.0
ford,Fusion,silver,2200.0,80.0,Manual,Petrol,6.9,83000.0,21.0
bmw,,black,15900.0,204.0,Automatic,Diesel,6.6,78466.0,14.0
fiat,Tipo,red,13999.0,120.0,Manual,Petrol,7.1,75159.0,7.0
audi,A1,black,26380.0,150.0,Automatic,Petrol,5.1,27878.0,6.0
hyundai,i10,silver,16490.0,67.0,Manual,Petrol,4.7,400.0,3.0
bmw,X3,black,9980.0,286.0,Automatic,Diesel,7.8,287000.0,18.0
audi,A1,white,10500.0,86.0,Manual,Petrol,5.1,93100.0,14.0
audi,TT,white,22895.0,211.0,Manual,Petrol,6.7,54500.0,14.0
citroen,C3,green,14500.0,83.0,Manual,Petrol,5.42,43985.0,7.0
audi,A2,silver,3950.0,75.0,Manual,Petrol,6.0,220000.0,25.0
audi,A3,grey,24450.0,190.0,Automatic,Petrol,5.8,69766.0,8.0
audi,A3,red,22999.0,116.0,Manual,Diesel,4.4,74000.0,6.0
ford,Transit Custom,white,39850.0,131.0,Manual,Diesel,7.5,10.0,3.0
bmw,420,grey,18950.0,184.0,Automatic,Diesel,4.0,119927.0,12.0
audi,A3,blue,39288.0,150.0,Manual,Diesel,4.3,10.0,3.0
bmw,X3,brown,39940.0,190.0,Automatic,Diesel,5.4,43424.0,6.0
fiat,Doblo,white,12599.0,90.0,Manual,Diesel,5.0,89000.0,10.0
audi,A3,black,17900.0,184.0,Automatic,Diesel,4.8,148000.0,12.0
kia,Ceed / cee'd,grey,8299.0,90.0,Manual,Petrol,5.8,80000.0,14.0
bmw,120,grey,19750.0,190.0,Automatic,Diesel,5.1,110900.0,8.0
hyundai,i20,brown,21489.0,101.0,Manual,Petrol,5.0,120.0,3.0
ford,Focus,silver,12599.0,120.0,Semi-automatic,Diesel,3.8,130840.0,9.0
bmw,X5 M,grey,29970.0,381.0,Automatic,Diesel,6.6,184333.0,10.0
bmw,530,white,52990.0,286.0,Automatic,Diesel,4.9,36336.0,5.0
bmw,X1,silver,21499.0,150.0,Manual,Diesel,4.6,121000.0,7.0
hyundai,i30,black,27188.0,275.0,Manual,Petrol,7.8,19650.0,7.0
audi,A3,white,16670.0,179.0,Manual,Petrol,5.8,77831.0,11.0
fiat,Tipo,grey,24990.0,131.0,Manual,Diesel,5.8,6950.0,4.0
ford,Transit,white,16999.0,125.0,Manual,Diesel,8.0,100000.0,13.0
kia,Soul,white,14490.0,132.0,Manual,Petrol,6.5,54000.0,11.0
citroen,Berlingo,white,6100.0,75.0,Manual,Diesel,5.2,169000.0,12.0
fiat,500,grey,13440.0,69.0,Manual,Petrol,5.5,30998.0,6.0
fiat,500,white,9900.0,69.0,Manual,Petrol,5.1,95672.0,11.0
bmw,116,black,7000.0,166.0,Manual,Petrol,6.1,147079.0,18.0
ford,Mondeo,black,29990.0,150.0,Manual,Diesel,4.6,18719.0,5.0
ford,Mustang,black,36500.0,421.0,Automatic,Petrol,12.0,31000.0,9.0
bmw,340,grey,61090.0,374.0,Automatic,Petrol,6.7,23243.0,4.0
mazda,6,grey,2999.0,147.0,Manual,Petrol,8.0,215000.0,19.0
audi,A8,black,34790.0,385.0,Automatic,Diesel,7.5,172700.0,10.0
ford,Mustang,green,42900.0,460.0,Manual,Petrol,6.340000000000001,19380.0,7.0
bmw,X1,white,22500.0,192.0,Unknown,Petrol,6.3,145000.0,8.0
bmw,X4,silver,43260.0,252.0,Automatic,Petrol,7.3,89900.0,6.0
bmw,125,blue,16950.0,218.0,Automatic,Diesel,4.9,149899.0,13.0
fiat,500C,blue,20990.0,71.0,Manual,Hybrid,4.8,99.0,4.0
land-rover,Rover Discovery Sport,red,30350.0,150.0,Automatic,Diesel,6.4,87200.0,7.0
audi,Q5,grey,63880.0,204.0,Automatic,Diesel,6.6,4500.0,3.0
audi,A3,black,23900.0,150.0,Automatic,Petrol,5.2,59256.0,7.0
fiat,500e,red,31249.0,118.0,Automatic,Electric,5.4,10.0,4.0
mazda,CX-5,black,12850.0,150.0,Manual,Diesel,4.6,156000.0,11.0
bmw,316,silver,1399.0,116.0,Manual,Petrol,6.9,163800.0,25.0
dacia,Jogger,black,23779.0,110.0,Manual,Petrol,5.6,50.0,4.0
ford,Mondeo,black,6100.0,220.0,Manual,Petrol,9.3,184000.0,18.0
bmw,335,black,38890.0,306.0,Automatic,Petrol,9.6,58650.0,13.0
