Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
770,alfa-romeo,Alfa Romeo Stelvio,red,06/2019,2019,34999,140,190,Automatic,Diesel,"5,9 l/100 km",155 g/km,144000.0,2.2D 16V B-Tech Q4*SPORTPAKET*VOLLAUSST*
93893,lamborghini,Lamborghini Huracan,black,03/2022,2022,375990,471,640,Automatic,Petrol,"13,9 l/100 km",- (g/km),5500.0,STO *NERO NOCITI *CARBON *Lift *CAM
54140,fiat,Fiat Fullback,white,01/2017,2017,23000,133,181,Manual,Diesel,"7,1 l/100 km",186 g/km,83000.0,4WD EC Professional LX
57162,fiat,Fiat 500C,red,02/2023,2023,19990,51,69,Manual,Petrol,"4,1 l/100 km",93 g/km,5.0,Dolcevita Mild Hybrid EU6d Dolce Vita 1.0 MHEV NAV
27497,bmw,BMW X3,red,06/2009,2009,4998,130,177,Manual,Diesel,"6,8 l/100 km",172 g/km,212260.0,xDrive 20d Edition Exclusive AHK Xenon Leder
42971,bmw,BMW 218,grey,04/2023,2023,39999,100,136,Automatic,Petrol,"6,6 l/100 km",154 g/km,1100.0,"Active Tourer i+Navi+HUD+LED+UPE 46.610,-+RFK+PDC+"
93537,lada,Lada Niva,grey,10/2022,2022,18910,61,83,Manual,Petrol,"9,5 l/100 km",241 g/km,1500.0,5-TÜRER AHK Sitzh. ABS Airbag DAB Freisprech
37963,bmw,BMW i3,red,09/2018,2018,29490,125,170,Automatic,Electric,,0 g/km,42295.0,94 REX*ACC*KAM*PANO*SUITE*DA+*KEY*HARMAN*19'
93539,lada,Lada Niva,grey,08/2022,2022,18910,61,83,Manual,Petrol,"9,5 l/100 km",241 g/km,1500.0,5-TÜRER AHK Sitzheizung DAB Freisprech.
41346,bmw,BMW M4,yellow,07/2021,2021,75900,375,510,Automatic,Petrol,,- (g/km),6768.0,Coupè Competition*Laser*Head Up*H&K*Kamera*
48417,dacia,Dacia Sandero,red,09/2017,2017,6999,66,90,Manual,Petrol,"5,1 l/100 km",115 g/km,141004.0,II 0.9 TCe 90 eco² Stepway Ambiance
64955,ford,Ford Focus,blue,07/2017,2017,15950,110,150,Automatic,Petrol,"6,1 l/100 km",140 g/km,105966.0,Turnier ST-Line 1.5 EB Autom Xenon+Navi
79867,hyundai,Hyundai TUCSON,grey,12/2018,2018,18999,130,177,Automatic,Petrol,"7,6 l/100 km",177 g/km,100000.0,1.6 4WD Navi Automatik Apple CarPlay
34295,bmw,BMW X5,blue,03/2016,2016,34800,230,313,Automatic,Diesel,7 l/100 km,- (g/km),123000.0,"X5 xDrive40d Sport,Stand.360°,SoftCl,Head-UP"
64463,ford,Ford Tourneo Courier,black,11/2016,2016,13400,74,101,Manual,Petrol,"5,3 l/100 km",120 g/km,85100.0,1.0 EcoBoost Titanium KLIMA
42822,bmw,BMW 430,blue,05/2023,2023,63990,180,245,Automatic,Petrol,"7,4 l/100 km",168 g/km,1000.0,"i A xDrive Gran Coupé Automatic,Leder,Autom,D"
91192,kia,Kia Niro,white,03/2020,2020,19995,,,Automatic,Hybrid,"1,3 l/100 km",29 g/km,107500.0,1.6 EU6d-T Vision PHEV DCT NAVI digitales Cockpit
23900,bmw,BMW 530,silver,11/2000,2000,2500,142,193,Automatic,Diesel,"8,5 l/100 km",226 g/km,368000.0,Baureihe 5 Touring 530d
